,epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake
0,275,1625003091,1625435091,1625003255,1625435086,21505,136339,13402253806474700,29088470734,23006172979540278
0,276,1625435091,1625867091,1625435146,1625867083,21298,144737,12581437590766031,30139500685,23092420021153886
0,277,1625867091,1626299091,1625867167,1626299088,21323,135191,9892737538002395,28508156761,23196615273348567
0,278,1626299091,1626731091,1626299100,1626731079,21352,133567,7769775574167205,28124230492,23196379717228316
0,279,1626731091,1627163091,1626731219,1627163081,21404,131829,10662572699883986,27651228864,23210733595257321
0,280,1627163091,1627595091,1627163136,1627595084,21204,137225,13309464381982500,31570674668,23230827525683631
0,281,1627595091,1628027091,1627595198,1628027082,21411,141713,9992892114370167,30198103953,23254470605645231
0,282,1628027091,1628459091,1628027091,1628459086,21452,157622,10815888045778149,33861288926,23244660857359753
0,283,1628459091,1628891091,1628459168,1628891055,21412,224809,15130164533985028,48375612297,23277148789435534
0,284,1628891091,1629323091,1628891161,1629323088,21517,243991,15100874235468408,53114389397,23275724668511213
0,285,1629323091,1629755091,1629323128,1629755082,21201,325005,29360018343688838,69484110281,23159940155010115
0,286,1629755091,1630187091,1629755175,1630187087,21504,363721,28461885467946689,80116415019,23141094607453731
0,287,1630187091,1630619091,1630187230,1630619085,21065,401343,74754307451589173,86536781869,23041097075076811
0,288,1630619091,1631051091,1630619101,1631051088,21136,475383,120564869080762073,99992854778,23136223153988390
0,289,1631051091,1631483091,1631051131,1631483087,21195,501443,30450853050129419,105082493097,23311196777534712
0,290,1631483091,1631915091,1631483266,1631915089,21320,423156,28653067841498377,88193252097,23253494675755279
0,291,1631915091,1632347091,1631915193,1632347076,21261,415399,27614827533993432,88508486990,23219858534473043
0,292,1632347091,1632779091,1632347163,1632779076,21264,448774,19991338650818976,94575307119,23325839206372436
0,293,1632779091,1633211091,1632779213,1633211077,21243,449404,22488409375435060,92010214941,23395112387185878
0,294,1633211091,1633643091,1633211411,1633643071,20960,411754,19661047455301685,85521391572,23382668673546580
0,295,1633643091,1634075091,1633643099,1634075084,21081,366276,17543807969318279,78295367024,23411124422164299
0,296,1634075091,1634507091,1634075099,1634507054,20849,355932,15479627250831111,76580372441,23445774697795279
0,297,1634507091,1634939091,1634507235,1634939083,21168,355992,16636669338854477,78382709752,23478023193513019
0,298,1634939091,1635371091,1634939263,1635371085,20840,467116,19151222141807745,98589384465,23511990337865722
