,epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake,avg_transaction_cost
0,274,1624571091,1625003091,1624571155,1625003071,21521,133041,11764235372.205744,28650.900551,23094302016.77595,0.21535391759683103
0,275,1625003091,1625435091,1625003255,1625435086,21505,136339,13402253806.4747,29088.470734,23006172979.54028,0.2133539980049729
0,276,1625435091,1625867091,1625435146,1625867083,21298,144737,12581437590.766031,30139.500685,23092420021.15389,0.20823632302037487
0,277,1625867091,1626299091,1625867167,1626299088,21323,135191,9892737538.002396,28508.156761,23196615273.348568,0.21087318505669755
0,278,1626299091,1626731091,1626299100,1626731079,21352,133567,7769775574.167205,28124.230492,23196379717.228317,0.210562717527533
0,279,1626731091,1627163091,1626731219,1627163081,21404,131829,10662572699.883986,27651.228864,23210733595.25732,0.20975072908085474
0,280,1627163091,1627595091,1627163136,1627595084,21204,137225,13309464381.9825,31570.674668,23230827525.68363,0.23006503674986337
0,281,1627595091,1628027091,1627595198,1628027082,21411,141713,9992892114.370169,30198.103953,23254470605.645233,0.21309339265275593
0,282,1628027091,1628459091,1628027091,1628459086,21452,157622,10815888045.778149,33861.288926,23244660857.359753,0.21482590581264038
0,283,1628459091,1628891091,1628459168,1628891055,21412,224809,15130164533.985027,48375.612297,23277148789.435535,0.21518538980645793
0,284,1628891091,1629323091,1628891161,1629323088,21517,243991,15100874235.468409,53114.389397,23275724668.51121,0.21768995330565472
0,285,1629323091,1629755091,1629323128,1629755082,21201,325005,29360018343.68884,69484.110281,23159940155.010117,0.2137939732650267
0,286,1629755091,1630187091,1629755175,1630187087,21504,363721,28461885467.94669,80116.415019,23141094607.45373,0.22026887372189122
0,287,1630187091,1630619091,1630187230,1630619085,21065,401343,74754307451.58917,86536.781869,23041097075.076813,0.21561801717981877
0,288,1630619091,1631051091,1630619101,1631051088,21136,475383,120564869080.76208,99992.854778,23136223153.98839,0.21034167140600316
0,289,1631051091,1631483091,1631051131,1631483087,21195,501443,30450853050.12942,105082.493097,23311196777.534714,0.20956019546987395
0,290,1631483091,1631915091,1631483266,1631915089,21320,423156,28653067841.498375,88193.252097,23253494675.75528,0.20841782249808583
0,291,1631915091,1632347091,1631915193,1632347076,21261,415399,27614827533.99343,88508.48699,23219858534.473045,0.2130686087111428
0,292,1632347091,1632779091,1632347163,1632779076,21264,448774,19991338650.818977,94575.307119,23325839206.372437,0.21074150266949512
0,293,1632779091,1633211091,1632779213,1633211077,21243,449404,22488409375.43506,92010.214941,23395112387.18588,0.20473830882902688
0,294,1633211091,1633643091,1633211411,1633643071,20960,411754,19661047455.301685,85521.391572,23382668673.54658,0.20770020830884459
0,295,1633643091,1634075091,1633643099,1634075084,21081,366276,17543807969.31828,78295.367024,23411124422.1643,0.2137605713287248
0,296,1634075091,1634507091,1634075099,1634507054,20849,355932,15479627250.831112,76580.372441,23445774697.79528,0.21515450266062056
0,297,1634507091,1634939091,1634507235,1634939083,21168,355992,16636669338.854477,78382.709752,23478023193.51302,0.22018109887862647
0,298,1634939091,1635371091,1634939263,1635371085,20840,467116,19151222141.807743,98589.384465,23511990337.86572,0.2110597463263943
0,299,1635371091,1635803091,1635371185,1635803085,20982,589639,33269848016.27402,124341.767708,23564534162.88316,0.21087778743943328
0,300,1635803091,1636235091,1635803345,1636235075,21225,391299,41397840177.26648,88206.19524,23882888816.746304,0.2254189130051444
0,301,1636235091,1636667091,1636235187,1636667055,20989,451157,33148201915.900394,97036.953903,23857504839.45498,0.21508466875832583
0,302,1636667091,1637099091,1636667212,1637099054,21203,1033931,39411705509.21497,202279.497524,23848572589.18931,0.19564119609915942
0,303,1637099091,1637531091,1637099105,1637531063,20948,488235,31808650630.788616,103395.856418,23849267970.809685,0.21177477325058627
0,304,1637531091,1637963091,1637531095,1637963019,21095,1566974,41119279092.66954,308293.830822,23856125875.17071,0.19674470081954135
0,305,1637963091,1638395091,1637963118,1638395080,21025,769219,31316579883.45393,156264.770889,23854747611.964256,0.20314731030954775
0,306,1638395091,1638827091,1638395191,1638827090,21141,531293,38644324751.00676,114439.696442,23836977371.26127,0.21539846457980813
